investor,stock,company,sector,pct,shares,value_idr,type,lf
MU MIN ALI GUNAWAN,GWSA,GREENWOOD SEJAHTERA Tbk,PROPERTY AND REAL ESTATE,2.56,200000000,28400000000.0,Individual,Local
PANIN FINANCIAL Tbk.,GWSA,GREENWOOD SEJAHTERA Tbk,PROPERTY AND REAL ESTATE,2.49,194000000,27548000000.0,Corporation,Local
"PANINVEST TBK, PT",GWSA,GREENWOOD SEJAHTERA Tbk,PROPERTY AND REAL ESTATE,2.11,164750000,23394500000.0,Corporation,Local
"ADRINDO INTIPERKASA, PT",GWSA,GREENWOOD SEJAHTERA Tbk,PROPERTY AND REAL ESTATE,1.59,124312900,17652431800.0,Corporation,Local
PT. GOLDEN ZAGA INDONESIA,GZCO,GOZCO PLANTATIONS Tbk,PLANTATION,28.37,1702000000,335294000000.0,Corporation,Local
TJANDRA MINDHARTA GOZALI,GZCO,GOZCO PLANTATIONS Tbk,PLANTATION,26.37,1581972000,311648484000.0,Individual,Local
NYAMDORJ CHULUUNBAATAR,GZCO,GOZCO PLANTATIONS Tbk,PLANTATION,9.85,590882400,116403832800.0,Individual,Foreign
PT. GOZCO PLANTATIONS TBK,GZCO,GOZCO PLANTATIONS Tbk,PLANTATION,3.67,220339000,43406783000.0,Corporation,Local
JABAR UTAMA WOOD INDUSTRY PT,GZCO,GOZCO PLANTATIONS Tbk,PLANTATION,2.92,175418000,34557346000.0,Corporation,Local
PT. INDO CAPITAL SEKURITAS,GZCO,GOZCO PLANTATIONS Tbk,PLANTATION,2.44,146550600,28870468200.0,Securities Co,Local
City Peak Develpoment Limited,GZCO,GOZCO PLANTATIONS Tbk,PLANTATION,1.59,95600000,18833200000.0,Insurance/Pension,Foreign
KWEK CHOON YEOW JULIAN,GZCO,GOZCO PLANTATIONS Tbk,PLANTATION,1.05,63265100,12463224700.0,Individual,Foreign
PT. MAXIMA FINANCINDO,HADE,HIMALAYA ENERGI PERKASA Tbk,INVESTMENT COMPANY,43.26,917200000,20178400000.0,Corporation,Local
DANA PENSIUN KARYAWAN PANIN BANK,HADE,HIMALAYA ENERGI PERKASA Tbk,INVESTMENT COMPANY,9.57,202800000,4461600000.0,Pension Fund,Local
SUMITRO,HADE,HIMALAYA ENERGI PERKASA Tbk,INVESTMENT COMPANY,2.04,43322400,953092800.0,Individual,Local
REKSADANA PAN ARCADIA EKUITAS PROGRESIF 2,HADE,HIMALAYA ENERGI PERKASA Tbk,INVESTMENT COMPANY,2.01,42709229,939603038.0,Mutual Fund,Local
Reksa Dana Syariah Pan Arcadia Ekuitas Syariah Progresif,HADE,HIMALAYA ENERGI PERKASA Tbk,INVESTMENT COMPANY,1.6,33985664,747684608.0,Mutual Fund,Local
RONALD SOETRISNO,HADE,HIMALAYA ENERGI PERKASA Tbk,INVESTMENT COMPANY,1.41,29943000,658746000.0,Individual,Local
MERISSA,HADE,HIMALAYA ENERGI PERKASA Tbk,INVESTMENT COMPANY,1.41,29932700,658519400.0,Individual,Local
REKSA DANA AURORA SMC EQUITY,HADE,HIMALAYA ENERGI PERKASA Tbk,INVESTMENT COMPANY,1.32,27890000,613580000.0,Mutual Fund,Local
ROBY PURNOMO,HADE,HIMALAYA ENERGI PERKASA Tbk,INVESTMENT COMPANY,1.04,22003200,484070400.0,Individual,Local
IDA BAGUS,HADE,HIMALAYA ENERGI PERKASA Tbk,INVESTMENT COMPANY,1.03,21904939,481908658.0,Individual,Local
NUR INTERNASIONAL SAMUDRA PT,HAIS,HASNUR INTERNASIONAL SHIPPING Tbk,TRANSPORTATION,40.8,1071510000,214302000000.0,Others,Local
JAYANTI SARI,HAIS,HASNUR INTERNASIONAL SHIPPING Tbk,TRANSPORTATION,5.6,147070000,29414000000.0,Individual,Local
ZAINAL HADI HAS. HB,HAIS,HASNUR INTERNASIONAL SHIPPING Tbk,TRANSPORTATION,5.6,147070000,29414000000.0,Individual,Local
HASNURYANI SE,HAIS,HASNUR INTERNASIONAL SHIPPING Tbk,TRANSPORTATION,5.6,147070000,29414000000.0,Individual,Local
YUNI ABDI NUR SULAIMAN,HAIS,HASNUR INTERNASIONAL SHIPPING Tbk,TRANSPORTATION,5.6,147070000,29414000000.0,Individual,Local
H.RACHMADI HAS,HAIS,HASNUR INTERNASIONAL SHIPPING Tbk,TRANSPORTATION,5.6,147070000,29414000000.0,Individual,Local
NILA SUSANTI,HAIS,HASNUR INTERNASIONAL SHIPPING Tbk,TRANSPORTATION,5.6,147070000,29414000000.0,Individual,Local
HASNURYADI SULAIMAN SE,HAIS,HASNUR INTERNASIONAL SHIPPING Tbk,TRANSPORTATION,5.6,147070000,29414000000.0,Individual,Local
PT ENERGI BATUBARA LESTARI,HAIS,HASNUR INTERNASIONAL SHIPPING Tbk,TRANSPORTATION,3.15,82718200,16543640000.0,Corporation,Local
PT. HASNUR JAYA ENERGI,HAIS,HASNUR INTERNASIONAL SHIPPING Tbk,TRANSPORTATION,2.0,52538500,10507700000.0,Corporation,Local
PT. HASNUR JAYA TAMBANG,HAIS,HASNUR INTERNASIONAL SHIPPING Tbk,TRANSPORTATION,2.0,52538700,10507740000.0,Corporation,Local
TITI PURWANI,HAIS,HASNUR INTERNASIONAL SHIPPING Tbk,TRANSPORTATION,1.39,36500000,7300000000.0,Individual,Local
PT TAPIN SUTHRA BERJAYA,HAIS,HASNUR INTERNASIONAL SHIPPING Tbk,TRANSPORTATION,1.25,32832133,6566426600.0,Corporation,Local
PT MADINAH IMAN WISATA,HAJJ,ARSY BUANA TRAVELINDO Tbk,"RESTAURANT, HOTEL & TOURISM",64.96,1603366670,190800633730.0,Corporation,Local
PT ABRAHA JAYA INVESTAMA,HAJJ,ARSY BUANA TRAVELINDO Tbk,"RESTAURANT, HOTEL & TOURISM",6.56,161951000,19272169000.0,Corporation,Local
PT. INVESTINDO JAYA ANUGERAH,HAJJ,ARSY BUANA TRAVELINDO Tbk,"RESTAURANT, HOTEL & TOURISM",4.06,100190800,11922705200.0,Corporation,Local
PT GERO SECURITY ASIA,HAJJ,ARSY BUANA TRAVELINDO Tbk,"RESTAURANT, HOTEL & TOURISM",4.05,100088000,11910472000.0,Corporation,Local
YOGA SUSILO,HAJJ,ARSY BUANA TRAVELINDO Tbk,"RESTAURANT, HOTEL & TOURISM",2.56,63140000,7513660000.0,Individual,Local
KARIM NAGADIPURNA NG,HAJJ,ARSY BUANA TRAVELINDO Tbk,"RESTAURANT, HOTEL & TOURISM",2.18,53905000,6414695000.0,Individual,Local
KENNETH ATMAN,HAJJ,ARSY BUANA TRAVELINDO Tbk,"RESTAURANT, HOTEL & TOURISM",1.9,46787800,5567748200.0,Individual,Local
MARGARETA,HAJJ,ARSY BUANA TRAVELINDO Tbk,"RESTAURANT, HOTEL & TOURISM",1.58,39006800,4641809200.0,Individual,Local
PT KONSULTAN UTAMA NUSANTARA,HAJJ,ARSY BUANA TRAVELINDO Tbk,"RESTAURANT, HOTEL & TOURISM",1.35,33398600,3974433400.0,Corporation,Local
HANSEN JAP,HALO,HALONI JANE Tbk,HEALTH CARE,81.06,4927356500,330132885500.0,Individual,Local
PT PROMOSI DESA DIGITAL,HALO,HALONI JANE Tbk,HEALTH CARE,5.27,320052700,21443530900.0,Corporation,Local
JULIANA,HALO,HALONI JANE Tbk,HEALTH CARE,1.15,70000000,4690000000.0,Individual,Local
CAI LONG,HALO,HALONI JANE Tbk,HEALTH CARE,1.04,63085200,4226708400.0,Individual,Foreign
Zurich Assets International Ltd,HALO,HALONI JANE Tbk,HEALTH CARE,1.03,62890100,4213636700.0,Corporation,Foreign
PT MULTI SARANA NASIONAL,HATM,HABCO TRANS MARITIMA Tbk,TRANSPORTATION,20.11,1745409861,544567876632.0,Corporation,Local
SAMUDRA SEJAHTERA INVESTAMA PT,HATM,HABCO TRANS MARITIMA Tbk,TRANSPORTATION,2.21,191779500,59835204000.0,Corporation,Local
PT HABCO PRIMATAMA,HATM,HABCO TRANS MARITIMA Tbk,TRANSPORTATION,66.34,5758706000,1796716272000.0,Corporation,Local
GEORGE SAMUEL,HATM,HABCO TRANS MARITIMA Tbk,TRANSPORTATION,1.9,164931700,51458690400.0,Individual,Local
AMIN DELIMA,HATM,HABCO TRANS MARITIMA Tbk,TRANSPORTATION,1.5,130363400,40673380800.0,Individual,Local
HARLEM HALIM,HATM,HABCO TRANS MARITIMA Tbk,TRANSPORTATION,1.29,111659400,34837732800.0,Individual,Local
HENDRA SUTANTO,HBAT,MINAHASA MEMBANGUN HEBAT Tbk,PROPERTY AND REAL ESTATE,44.94,467760000,143134560000.0,Individual,Local
RUDY GUNAWAN,HBAT,MINAHASA MEMBANGUN HEBAT Tbk,PROPERTY AND REAL ESTATE,20.69,215280000,65875680000.0,Individual,Local
JON FIERIS,HBAT,MINAHASA MEMBANGUN HEBAT Tbk,PROPERTY AND REAL ESTATE,11.24,116960000,35789760000.0,Individual,Local
Islam Santosa,HBAT,MINAHASA MEMBANGUN HEBAT Tbk,PROPERTY AND REAL ESTATE,1.88,19609300,6000445800.0,Individual,Local
RUBICON INVESTMENTS HOLDING PTE. LTD.,HDFA,RADANA BHASKARA FINANCE Tbk,FINANCIAL INSTITUTION,55.23,3613117337,346859264352.0,Others,Foreign
PT TIARA MARGA TRAKINDO,HDFA,RADANA BHASKARA FINANCE Tbk,FINANCIAL INSTITUTION,37.15,2430707293,233347900128.0,Corporation,Local
DBS BANK LTD.,HDFA,RADANA BHASKARA FINANCE Tbk,FINANCIAL INSTITUTION,3.29,215000000,20640000000.0,Insurance/Pension,Foreign
PT. INDULCE NUSA INVESTAMA,HDFA,RADANA BHASKARA FINANCE Tbk,FINANCIAL INSTITUTION,1.07,69949400,6715142400.0,Corporation,Local
PT DAVEST INVESTAMA MANDIRI,HDIT,HENSEL DAVEST INDONESIA Tbk,COMPUTER AND SERVICES,52.25,796679400,45410725800.0,Corporation,Local
MOCHAMAD HELMY BA AGIL,HDIT,HENSEL DAVEST INDONESIA Tbk,COMPUTER AND SERVICES,2.07,31500000,1795500000.0,Individual,Local
REZANANTA F PIETRUSCHKA,HDIT,HENSEL DAVEST INDONESIA Tbk,COMPUTER AND SERVICES,1.25,19047400,1085701800.0,Individual,Local
SUKARDI,HDIT,HENSEL DAVEST INDONESIA Tbk,COMPUTER AND SERVICES,1.19,18207300,1037816100.0,Individual,Local
HADI RONOTANA,HDIT,HENSEL DAVEST INDONESIA Tbk,COMPUTER AND SERVICES,1.12,17093200,974312400.0,Individual,Local
PT ASTRA HEALTHCARE INDONESIA,HEAL,MEDIKALOKA HERMINA Tbk,HEALTH CARE,12.95,1990651300,2617706459500.0,Corporation,Local
PT ASTRA INTERNATIONAL TBK,HEAL,MEDIKALOKA HERMINA Tbk,HEALTH CARE,7.23,1110824000,1460733560000.0,Corporation,Local
YULISAR KHIAT,HEAL,MEDIKALOKA HERMINA Tbk,HEALTH CARE,6.42,986829166,1297680353290.0,Individual,Local
LYDIA IMMANUEL,HEAL,MEDIKALOKA HERMINA Tbk,HEALTH CARE,5.56,855082000,1124432830000.0,Individual,Local
DR B P SIMORANGKIR SPOG,HEAL,MEDIKALOKA HERMINA Tbk,HEALTH CARE,5.14,789863411,1038670385465.0,Individual,Local
DR HASMORO,HEAL,MEDIKALOKA HERMINA Tbk,HEALTH CARE,4.92,756718089,995084287035.0,Individual,Local
LUMINOUS INVESTMENT HOLDINGS PTE LTD,HEAL,MEDIKALOKA HERMINA Tbk,HEALTH CARE,4.07,625000000,821875000000.0,Corporation,Foreign
HERITAGE INVESTMENT HOLDINGS PTE LTD,HEAL,MEDIKALOKA HERMINA Tbk,HEALTH CARE,3.72,570899500,750732842500.0,Corporation,Foreign
PT DWIMURIA INVESTAMA ANDALAN,HEAL,MEDIKALOKA HERMINA Tbk,HEALTH CARE,3.64,559185300,735328669500.0,Corporation,Local
LILY SOEPARDIMAN,HEAL,MEDIKALOKA HERMINA Tbk,HEALTH CARE,3.14,482199000,634091685000.0,Individual,Local
SOEDIBJO TOELOES,HEAL,MEDIKALOKA HERMINA Tbk,HEALTH CARE,2.59,398065100,523455606500.0,Individual,Local
HUSEN SUTAKARIA,HEAL,MEDIKALOKA HERMINA Tbk,HEALTH CARE,2.47,379246696,498709405240.0,Individual,Local
ASIAN DEVELOPMENT BANK (ADB),HEAL,MEDIKALOKA HERMINA Tbk,HEALTH CARE,2.28,350000000,460250000000.0,Others,Foreign
MEIJANI WIBOWO,HEAL,MEDIKALOKA HERMINA Tbk,HEALTH CARE,1.97,303181367,398683497605.0,Individual,Local
INDRAJANI WIBOWO,HEAL,MEDIKALOKA HERMINA Tbk,HEALTH CARE,1.93,296653567,390099440605.0,Individual,Local
RICKY DHARSONO WIBOWO,HEAL,MEDIKALOKA HERMINA Tbk,HEALTH CARE,1.78,272937167,358912374605.0,Individual,Local
ADITYAWARMAN,HEAL,MEDIKALOKA HERMINA Tbk,HEALTH CARE,1.46,225000000,295875000000.0,Individual,Local
WISNI SETYAWATI WAHJUDI,HEAL,MEDIKALOKA HERMINA Tbk,HEALTH CARE,1.38,212282408,279151366520.0,Individual,Local
APOLLO AURORA PTE. LTD,HEAL,MEDIKALOKA HERMINA Tbk,HEALTH CARE,1.31,200900000,264183500000.0,Corporation,Foreign
PUSTIKA AMALIA WAHIDIYAT,HEAL,MEDIKALOKA HERMINA Tbk,HEALTH CARE,1.27,195184600,256667749000.0,Individual,Local
KHIAT KHIN SIANG,HEAL,MEDIKALOKA HERMINA Tbk,HEALTH CARE,1.19,182186598,239575376370.0,Individual,Local
LILY ANGGRAINI SULAIMAN,HEAL,MEDIKALOKA HERMINA Tbk,HEALTH CARE,1.16,177848822,233871200930.0,Individual,Local
PT STARTEL COMMUNICATION,HELI,JAYA TRISHINDO Tbk,TRANSPORTATION,30.25,251913200,47863508000.0,Corporation,Local
PT KOMALA TRI VARIA,HELI,JAYA TRISHINDO Tbk,TRANSPORTATION,20.5,170700000,32433000000.0,Corporation,Local
PT. ALTA INTERNASIONAL INDONESIA,HELI,JAYA TRISHINDO Tbk,TRANSPORTATION,16.0,133258000,25319020000.0,Corporation,Local
UOB KAY HIAN PRIVATE LIMITED,HELI,JAYA TRISHINDO Tbk,TRANSPORTATION,10.18,84793600,16110784000.0,Securities Co,Foreign
PT. AVIA NUSANTARA KHATULISTIWA,HELI,JAYA TRISHINDO Tbk,TRANSPORTATION,7.55,62877300,11946687000.0,Corporation,Local
PT. Anugerah Bumiputra,HELI,JAYA TRISHINDO Tbk,TRANSPORTATION,2.7,22500000,4275000000.0,Corporation,Local
PT CAKRAWALA BUANA SENTOSA,HELI,JAYA TRISHINDO Tbk,TRANSPORTATION,2.46,20472600,3889794000.0,Corporation,Local
ARI ANASTASIA CHRISTIANA,HELI,JAYA TRISHINDO Tbk,TRANSPORTATION,1.03,8590600,1632214000.0,Individual,Local
MULGRAVE CORPORATION B.V.,HERO,DFI RETAIL NUSANTARA Tbk,RETAIL TRADE,63.59,2660194960,1074718763840.0,Unknown,Foreign
THE DAIRY FARM COMPANY LTD,HERO,DFI RETAIL NUSANTARA Tbk,RETAIL TRADE,17.45,729975094,294909937976.0,Unknown,Foreign
CLSA LTD,HERO,DFI RETAIL NUSANTARA Tbk,RETAIL TRADE,8.26,345632273,139635438292.0,Securities Co,Foreign
PT HERO PUSAKA SEJATI,HERO,DFI RETAIL NUSANTARA Tbk,RETAIL TRADE,2.68,112123931,45298068124.0,Corporation,Local
JPMCB NA AIF CLT RE-THE SCOTTISH ORIENTAL SMALLER COMPANIES TRUST PLC,HERO,DFI RETAIL NUSANTARA Tbk,RETAIL TRADE,2.37,99134175,40050206700.0,Corporation,Foreign
NURHAJATI,HERO,DFI RETAIL NUSANTARA Tbk,RETAIL TRADE,2.32,97205800,39271143200.0,Individual,Local
"HITACHI CONSTRUCTION MACHINERY CO.,LTD",HEXA,HEXINDO ADIPERKASA Tbk,WHOLESALE (DURABLE & NON DURABLE GOODS),48.59,408180000,1779664800000.0,Corporation,Foreign
ITOCHU CORPORATION,HEXA,HEXINDO ADIPERKASA Tbk,WHOLESALE (DURABLE & NON DURABLE GOODS),25.05,210400000,917344000000.0,Corporation,Foreign
Hitachi Construction Machinery Asia And Pasific Pte Ltd,HEXA,HEXINDO ADIPERKASA Tbk,WHOLESALE (DURABLE & NON DURABLE GOODS),5.07,42620000,185823200000.0,Corporation,Foreign
"FRANKLIN TEMPLETON INVESTMENT FUNDS , SICAV",HEXA,HEXINDO ADIPERKASA Tbk,WHOLESALE (DURABLE & NON DURABLE GOODS),2.44,20508400,89416624000.0,Mutual Fund,Foreign
DBS VICKERS SECS SINGAPORE (PTE) LTD A/C CLIENTS,HEXA,HEXINDO ADIPERKASA Tbk,WHOLESALE (DURABLE & NON DURABLE GOODS),1.96,16497700,71929972000.0,Securities Co,Foreign
SEP INTERNATIONAL NETHERLANDS B.V.,HGII,HERO GLOBAL INVESTMENT Tbk,FINANCIAL INSTITUTION,25.0,1625000000,222625000000.0,Corporation,Foreign
HENDRIANTO THAMRIN,HGII,HERO GLOBAL INVESTMENT Tbk,FINANCIAL INSTITUTION,19.85,1290250000,176764250000.0,Individual,Local
RUDY CHANDRA,HGII,HERO GLOBAL INVESTMENT Tbk,FINANCIAL INSTITUTION,18.7,1215500000,166523500000.0,Individual,Local
ROBERT NJO,HGII,HERO GLOBAL INVESTMENT Tbk,FINANCIAL INSTITUTION,18.17,1180750000,161762750000.0,Individual,Local
PT BINA WIBAWA DIRGANTARA,HGII,HERO GLOBAL INVESTMENT Tbk,FINANCIAL INSTITUTION,2.6,168794500,23124846500.0,Corporation,Local
YURONG FAN,HGII,HERO GLOBAL INVESTMENT Tbk,FINANCIAL INSTITUTION,2.48,161300000,22098100000.0,Individual,Foreign
TEDDY THAMRIN CHANDRA ONG,HGII,HERO GLOBAL INVESTMENT Tbk,FINANCIAL INSTITUTION,1.7,110500000,15138500000.0,Individual,Local
PT HILLCON EQUITY MANAGEMENT,HILL,HILLCON Tbk,CONSTRUCTION,38.29,5644582400,141114560000.0,Corporation,Local
CGS INTERNATIONAL SEKURITAS INDONESIA,HILL,HILLCON Tbk,CONSTRUCTION,17.45,2572893900,64322347500.0,Securities Co,Local
PT BUKIT PERSADA INDONESIA,HILL,HILLCON Tbk,CONSTRUCTION,16.15,2380700000,59517500000.0,Unknown,Foreign
LU XU,HILL,HILLCON Tbk,CONSTRUCTION,2.08,306398500,7659962500.0,Individual,Foreign
MORGAN STANLEY AND CO INTERNATIONAL PLC,HILL,HILLCON Tbk,CONSTRUCTION,1.47,216766000,5419150000.0,Corporation,Foreign
LIE HARJONO,HILL,HILLCON Tbk,CONSTRUCTION,1.39,205000000,5125000000.0,Individual,Local
PT INVESTA DHARMA PUTERA,HITS,HUMPUSS INTERMODA TRANSPORTASI Tbk,TRANSPORTATION,50.57,3591041537,416560818292.0,Corporation,Local
PT.MENARA CAKRA BUANA,HITS,HUMPUSS INTERMODA TRANSPORTASI Tbk,TRANSPORTATION,43.24,3070244742,356148390072.0,Corporation,Local
"KHARISMA NUSANTARA TIMUR, PT",HITS,HUMPUSS INTERMODA TRANSPORTASI Tbk,TRANSPORTATION,3.91,277357575,32173478700.0,Corporation,Local
PT.JOYO AGUNG PERMATA,HITS,HUMPUSS INTERMODA TRANSPORTASI Tbk,TRANSPORTATION,2.2,156502779,18154322364.0,Corporation,Local
PT ALAM MUBAROK SEJAHTERA,HKMU,HK METALS UTAMA Tbk,METAL AND ALLIED PRODUCTS,4.87,157000000,7850000000.0,Corporation,Local
PT AMEKSA PERMATA ABADI,HKMU,HK METALS UTAMA Tbk,METAL AND ALLIED PRODUCTS,4.35,140000000,7000000000.0,Corporation,Local
UJANG ROJIMAN,HKMU,HK METALS UTAMA Tbk,METAL AND ALLIED PRODUCTS,4.35,140000000,7000000000.0,Individual,Local
PT. NUGRAHA KENCANA BHUMI,HKMU,HK METALS UTAMA Tbk,METAL AND ALLIED PRODUCTS,4.04,130000000,6500000000.0,Corporation,Local
Bagus Laksono,HKMU,HK METALS UTAMA Tbk,METAL AND ALLIED PRODUCTS,4.04,130000000,6500000000.0,Individual,Local
WINDRA SANDAWAI,HKMU,HK METALS UTAMA Tbk,METAL AND ALLIED PRODUCTS,4.04,130017300,6500865000.0,Individual,Local
DOBBY FRANCOIS,HKMU,HK METALS UTAMA Tbk,METAL AND ALLIED PRODUCTS,3.36,108225050,5411252500.0,Individual,Local
"HYAMN MULTINVES PERKASA, PT",HKMU,HK METALS UTAMA Tbk,METAL AND ALLIED PRODUCTS,3.33,107410100,5370505000.0,Corporation,Local
ANDIKA RAHMAN,HKMU,HK METALS UTAMA Tbk,METAL AND ALLIED PRODUCTS,3.05,98367125,4918356250.0,Individual,Local
JAKSA AGUNG MUDA BIDANG TINDAK PIDANA KHUSUS KEJAKSAAN REPUBLIK INDONESIA KEJAKSAAN REPUBLIK INDONESIA,HKMU,HK METALS UTAMA Tbk,METAL AND ALLIED PRODUCTS,2.84,91398700,4569935000.0,Others,Local
ARIF ARMANTO,HKMU,HK METALS UTAMA Tbk,METAL AND ALLIED PRODUCTS,1.27,41000000,2050000000.0,Individual,Local
IMRON AGUNG KHOIRUDIN,HKMU,HK METALS UTAMA Tbk,METAL AND ALLIED PRODUCTS,1.24,40000000,2000000000.0,Individual,Local
Tasman Wargana,HKMU,HK METALS UTAMA Tbk,METAL AND ALLIED PRODUCTS,1.24,40000000,2000000000.0,Individual,Local
ALFIAN NOR ICHSAN,HKMU,HK METALS UTAMA Tbk,METAL AND ALLIED PRODUCTS,1.15,37020000,1851000000.0,Individual,Local
PHILIP MORRIS INDONESIA,HMSP,HANJAYA MANDALA SAMPOERNA Tbk,TOBACCO MANUFACTURERS,92.44,107523239925,77954348945625.0,Corporation,Local
PT BUYUNG INVESTAMA GEMILANG,HOKI,BUYUNG POETRA SEMBADA Tbk,FOOD & BEVERAGES,59.95,5801826646,377118731990.0,Corporation,Local
SUKARTO BUJUNG,HOKI,BUYUNG POETRA SEMBADA Tbk,FOOD & BEVERAGES,5.97,577490934,37536910710.0,Individual,Local
JAKSA AGUNG MUDA BIDANG TINDAK PIDANA KHUSUS KEJAKSAAN REPUBLIK INDONESIA KEJAKSAAN REPUBLIK INDONESIA,HOME,HOTEL MANDARINE REGENCY Tbk,"RESTAURANT, HOTEL & TOURISM",24.67,5479895094,273994754700.0,Others,Local
PT Yuanta Sekuritas Indonesia,HOME,HOTEL MANDARINE REGENCY Tbk,"RESTAURANT, HOTEL & TOURISM",9.57,2126279700,106313985000.0,Securities Co,Local
REKSA DANA EMCO MANTAP,HOME,HOTEL MANDARINE REGENCY Tbk,"RESTAURANT, HOTEL & TOURISM",4.1,910756800,45537840000.0,Mutual Fund,Local
REKSA DANA EMCO GROWTH FUND,HOME,HOTEL MANDARINE REGENCY Tbk,"RESTAURANT, HOTEL & TOURISM",3.6,800450000,40022500000.0,Mutual Fund,Local
SEA LINK INVESTMENT LTD,HOME,HOTEL MANDARINE REGENCY Tbk,"RESTAURANT, HOTEL & TOURISM",2.86,634568500,31728425000.0,Unknown,Foreign
PT. PANCA GLOBAL KAPITAL TBK,HOME,HOTEL MANDARINE REGENCY Tbk,"RESTAURANT, HOTEL & TOURISM",2.84,629900000,31495000000.0,Corporation,Local
ZICO TRUST (S) LTD AS TRUSTEE OF PROMETHEA STRATEGIC FUND,HOME,HOTEL MANDARINE REGENCY Tbk,"RESTAURANT, HOTEL & TOURISM",2.6,576900000,28845000000.0,Unknown,Foreign
"BANK DANAMON INDONESIA Tbk, PT - REGISTRAR",HOME,HOTEL MANDARINE REGENCY Tbk,"RESTAURANT, HOTEL & TOURISM",2.36,523268126,26163406300.0,Insurance/Pension,Local
ALEXANDER PANDU WINATA,HOME,HOTEL MANDARINE REGENCY Tbk,"RESTAURANT, HOTEL & TOURISM",2.18,484859400,24242970000.0,Individual,Local
PT MINNA PADI INVESTAMA SEKURITAS Tbk,HOME,HOTEL MANDARINE REGENCY Tbk,"RESTAURANT, HOTEL & TOURISM",1.73,383891600,19194580000.0,Securities Co,Local
REKSA DANA SAHAM EMCO PESONA,HOME,HOTEL MANDARINE REGENCY Tbk,"RESTAURANT, HOTEL & TOURISM",1.67,371730000,18586500000.0,Mutual Fund,Local
ADI WIJOYO,HOME,HOTEL MANDARINE REGENCY Tbk,"RESTAURANT, HOTEL & TOURISM",1.62,360366500,18018325000.0,Individual,Local
JOCELYN JOSEPHINE,HOME,HOTEL MANDARINE REGENCY Tbk,"RESTAURANT, HOTEL & TOURISM",1.55,344538300,17226915000.0,Individual,Local
PERUSAHAAN PERSEROAN (PERSERO) PT. ASABRI,HOME,HOTEL MANDARINE REGENCY Tbk,"RESTAURANT, HOTEL & TOURISM",1.4,310539512,15526975600.0,Insurance,Local
ERIC BUDISETIO KURNIAWAN,HOME,HOTEL MANDARINE REGENCY Tbk,"RESTAURANT, HOTEL & TOURISM",1.24,275000000,13750000000.0,Individual,Local
PT PESONA ALAM MUTIARA,HOME,HOTEL MANDARINE REGENCY Tbk,"RESTAURANT, HOTEL & TOURISM",1.12,247839500,12391975000.0,Corporation,Local
DRS.HERMAWAN BUDI SANTOSO,HOME,HOTEL MANDARINE REGENCY Tbk,"RESTAURANT, HOTEL & TOURISM",1.01,225000000,11250000000.0,Individual,Local
PT. GRAHA MULIA INDOTAMA,HOMI,GRAND HOUSE MULIA Tbk,PROPERTY AND REAL ESTATE,52.0,819000000,206388000000.0,Corporation,Local
TAN PING,HOMI,GRAND HOUSE MULIA Tbk,PROPERTY AND REAL ESTATE,12.0,189000000,47628000000.0,Individual,Local
Suryadi,HOMI,GRAND HOUSE MULIA Tbk,PROPERTY AND REAL ESTATE,8.0,126000000,31752000000.0,Individual,Local
Velliana Tanaya,HOMI,GRAND HOUSE MULIA Tbk,PROPERTY AND REAL ESTATE,4.0,63000000,15876000000.0,Individual,Local
Willy,HOMI,GRAND HOUSE MULIA Tbk,PROPERTY AND REAL ESTATE,4.0,63000000,15876000000.0,Individual,Local
SUDIRMAN,HOMI,GRAND HOUSE MULIA Tbk,PROPERTY AND REAL ESTATE,3.34,52631400,13263112800.0,Individual,Local
DEDE MUHT ARUDIN,HOMI,GRAND HOUSE MULIA Tbk,PROPERTY AND REAL ESTATE,3.34,52631400,13263112800.0,Individual,Local
TUTIK SUDIYATMI,HOMI,GRAND HOUSE MULIA Tbk,PROPERTY AND REAL ESTATE,3.02,47631400,12003112800.0,Individual,Local
Neneng Puspita Sari,HOMI,GRAND HOUSE MULIA Tbk,PROPERTY AND REAL ESTATE,2.73,42967600,10827835200.0,Individual,Local
EKA PUSPITA RINI,HOMI,GRAND HOUSE MULIA Tbk,PROPERTY AND REAL ESTATE,1.65,26003000,6552756000.0,Individual,Local
PT. HARAPAN GROUP SUKSES,HOPE,HARAPAN DUTA PERTIWI Tbk,AUTOMOTIVE AND COMPONENTS,32.27,687450400,144364584000.0,Corporation,Local
PT CELEBES MINING RESOURCES,HOPE,HARAPAN DUTA PERTIWI Tbk,AUTOMOTIVE AND COMPONENTS,13.87,295546733,62064813930.0,Corporation,Local
PT. MERANTI SAMUDRA PERKASA,HOPE,HARAPAN DUTA PERTIWI Tbk,AUTOMOTIVE AND COMPONENTS,5.0,106518100,22368801000.0,Corporation,Local
"MULTI GARAM UTAMA, PT",HOPE,HARAPAN DUTA PERTIWI Tbk,AUTOMOTIVE AND COMPONENTS,4.95,105393767,22132691070.0,Corporation,Local
TAN CITRA SARIDEWI BAYUSAPUTRO,HOPE,HARAPAN DUTA PERTIWI Tbk,AUTOMOTIVE AND COMPONENTS,4.36,92927143,19514700030.0,Individual,Local
ALEXANDER PRAWIRO BAYUSAPUTRO,HOPE,HARAPAN DUTA PERTIWI Tbk,AUTOMOTIVE AND COMPONENTS,4.36,92857143,19500000030.0,Individual,Local
